label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	11	2	256	554384	855813	1149851	124620	145649787	1758	9	0	0	99.6	0.000	2	2
size_131072	pool	off	cold	stride	131072	500000	1	1	11	3	256	858276	1019030	1117029	215642	215646663	1187	10	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	0	0	256	1360305	1705906	2377540	288721	356175920	719	9	0	0	99.6	0.000	1	1
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	0	1	256	698723	1334779	1500307	244886	185658529	1379	9	0	0	99.6	0.000	2	2
size_250000	pool	off	cold	stride	250000	500000	1	1	0	2	256	1070796	1264215	1373628	293004	259023610	988	10	0	0	99.6	0.000	0	0
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	3	256	874498	987378	2014217	185164	231662828	1105	9	0	0	99.6	0.000	0	0
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	1	0	256	744252	1314556	1971387	292914	203588871	1257	9	0	0	99.6	0.000	2	2
size_250000	pool	off	cold	stride	250000	500000	1	1	1	1	256	1123178	1499207	1633648	376412	289625715	884	10	0	0	99.6	0.000	0	0
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	1	2	256	1150050	1273353	1438814	323236	288997314	886	9	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	1	3	256	1364024	2163228	2644798	374486	401595515	637	9	0	0	99.6	0.000	1	1
size_250000	pool	off	cold	stride	250000	500000	1	1	2	0	256	1148019	1328575	1643550	380468	292032459	877	10	0	0	99.6	0.000	0	0
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	2	1	256	829315	1437193	1673381	212311	230809526	1109	9	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	2	2	256	1305272	1468498	1993053	260059	336541967	761	9	0	0	99.6	0.000	1	1
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	2	3	256	771357	1297812	2076424	301796	212238024	1206	9	0	0	99.6	0.000	2	2
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	3	0	256	1254835	1650515	1892158	280658	322739746	793	9	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	3	1	256	1279486	2060206	2660866	311234	370892549	690	9	0	0	99.6	0.000	1	1
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	3	2	256	709090	1073299	1333930	195208	173385184	1476	9	0	0	99.6	0.000	2	2
size_250000	pool	off	cold	stride	250000	500000	1	1	3	3	256	1034004	1211131	1282855	310397	265960095	963	10	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	4	0	256	1679156	2160169	2683395	424264	431324758	594	9	0	0	99.6	0.000	1	1
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	4	1	256	701551	1159814	1679357	232320	188300684	1360	9	0	0	99.6	0.000	2	2
size_250000	pool	off	cold	stride	250000	500000	1	1	4	2	256	842399	1577363	1718988	287518	249622842	1026	10	0	0	99.6	0.000	0	0
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	4	3	256	697885	760605	823148	113883	178937091	1431	9	0	0	99.6	0.000	0	0
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	5	0	256	663270	1326693	1976831	233241	190608319	1343	9	0	0	99.6	0.000	2	2
size_250000	pool	off	cold	stride	250000	500000	1	1	5	1	256	1057140	1603807	1827360	383611	300449500	852	10	0	0	99.6	0.000	0	0
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	5	2	256	1167259	1310518	1407357	334984	296189739	864	9	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	5	3	256	1924625	2208579	2748149	458953	446004304	574	9	0	0	99.6	0.000	1	1
size_250000	pool	off	cold	stride	250000	500000	1	1	6	0	256	1178721	1556569	1729292	397728	304533377	841	10	0	0	99.6	0.000	0	0
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	6	1	256	1073732	1174651	1306067	282479	267135934	958	9	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	6	2	256	1453328	2053054	2559439	366331	398411037	643	9	0	0	99.6	0.000	1	1
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	6	3	256	1056581	1416032	1999810	395630	248754680	1029	9	0	0	99.6	0.000	2	2
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	7	0	256	1071957	1649464	1823689	364921	309390486	827	9	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	7	1	256	1941350	2227639	2699045	491527	462385029	554	9	0	0	99.6	0.000	1	1
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	7	2	256	765771	1165776	1655691	273414	208153349	1230	9	0	0	99.6	0.000	2	2
size_250000	pool	off	cold	stride	250000	500000	1	1	7	3	256	1184624	1529425	2090864	396174	310767872	824	10	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	8	0	256	1655924	1975890	2517122	388845	409762390	625	9	0	0	99.6	0.000	1	1
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	8	1	256	672380	1107058	1648046	228110	187881893	1363	9	0	0	99.6	0.000	2	2
size_250000	pool	off	cold	stride	250000	500000	1	1	8	2	256	1179029	1523877	1739765	383338	302321581	847	10	0	0	99.6	0.000	0	0
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	8	3	256	994267	1457466	1627375	308675	280891128	911	9	0	0	99.6	0.000	0	0
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	9	0	256	717316	994191	1327226	203244	182280801	1404	9	0	0	99.6	0.000	2	2
size_250000	pool	off	cold	stride	250000	500000	1	1	9	1	256	1005004	1595913	1711562	405597	308998519	828	10	0	0	99.6	0.000	0	0
